names,sex
ابتسام,F
ابتهاج,F
ابتهال,F
اجتهاد,F
ازدهار,F
اعتدال,F
اعتماد,F
افتخار,F
افتكار,F
البتول,F
البندري,F
الجازي,F
الجوري,F
الجوهرة,F
الريم,F
العنود,F
الهنوف,F
امتثال,F
امتياز,F
انبهاج,F
انتصار,F
انتظار,F
انسجام,F
انشراح,F
انشراف,F
آلاء,F
آمال,F
آمنة,F
آيات,F
آية,F
أبرار,F
أثير,F
أثيرالدين,M
أثيل,F
أحلام,F
أرجوان,F
أروى,F
أريام,F
أريج,F
أزهار,F
أسارير,F
أسرار,F
أسماء,F
أسمى,F
أسيل,F
أشجان,F
أطياف,F
أغاريد,F
أفراح,F
أفكار,F
أفنان,F
ألطاف,F
ألفت,F
أم كلثوم,F
أمارة,F
أمال,F
أمامة,F
أماني,F
أمجاد,F
أمل,F
أمنية,F
أمواج,F
أميرة,F
أميمة,F
أمينة,F
أنسام,F
أنغام,F
أنهار,F
أنوار,F
أنيسة,F
أوصاف,F
إباء,F
إجلال,F
إحسان,F
إخلاص,F
إدراك,F
إسراء,F
إسعاد,F
إصلاح,F
إعزاز,F
إقبال,F
إقدام,F
إكليل,F
إنصاف,F
إنعام,F
إيثار,F
إيمان,F
إيناس,F
بائقة,F
بادرة,F
بارزة,F
بارعة,F
باركة,F
بارية,F
بازعة,F
باسطة,F
باسقة,F
باسلة,F
بانة,F
بتول,F
بثينة,F
بدرية,F
بديعة,F
براء,F
بسمة,F
بسيمة,F
بشاير,F
بشرى,F
بشيرة,F
بلقيس,F
بليغة,F
بهيجة,F
بهيسة,F
بيان,F
تارا,F
تالا,F
تانيا,F
تغاني,F
تمارة,F
تماضر,F
تماني,F
تهاني,F
تودد,F
توليب,F
تولين,F
تيسير,F
تيماء,F
ثراء,F
ثناء,F
ثوبة,F
ثويبة,F
جبرة,F
جبلة,F
جمانة,F
جميلة,F
جنا,F
جنى,F
جوان,F
جواهر,F
جود,F
جوري,F
جوهرة,F
جوى,F
جويرية,F
جيداء,F
جيهان,F
حسناء,F
حسنية,F
حصة,F
حفصة,F
حكمت,F
حليمة,F
حنان,F
حنيفة,F
حور,F
حوراء,F
حورية,F
حياة,F
خاتمة,F
خالدة,F
خديجة,F
خزامى,F
خزنة,F
خزينة,F
خلود,F
خولة,F
دارين,F
داليا,F
دانا,F
دانة,F
دانيا,F
دانية,F
دعجاء,F
دلال,F
دنيا,F
ديم,F
ديما,F
ديمة,F
دينا,F
ذبيانة,F
ذكية,F
رابعة,F
راتبة,F
راجحة,F
