names,sex
Aala,F
Abeer,F
Abir,F
Ahlaam,F
Ahlam,F
Aisha,F
Ala,F
Alanoud,F
Aljawhara,F
Aljouhara,F
Amaal,F
Amal,F
Amani,F
Amany,F
Anoud,F
Areeg,F
Areej,F
Arij,F
Ashwag,F
Ashwaq,F
Asma,F
Asmaa,F
Asmah,F
Ayesha,F
Ayisha,F
Aysha,F
Azza,F
Bashair,F
Bashayer,F
Basma,F
Basmah,F
Basmh,F
Bayan,F
Bayyan,F
Boshra,F
Boushra,F
Bshair,F
Bushra,F
Dana,F
Danah,F
Daniya,F
Daniyah,F
Diana,F
Doaa,F
Donia,F
Donya,F
Dua,F
Dunia,F
Dyana,F
Elaf,F
Elham,F
Eman,F
Enas,F
Engy,F
Esraa,F
Fatemah,F
Fatima,F
Fatimah,F
Fatma,F
Ferdous,F
Firdaus,F
Ghada,F
Ghadah,F
Hagar,F
Hajar,F
Hana,F
Hanaa,F
Hanaah,F
Hanaan,F
Hanan,F
Haneen,F
Hania,F
Hanin,F
Haniya,F
Haya,F
Hayah,F
Hend,F
Hind,F
Hoda,F
Houda,F
Huda,F
Ilaaf,F
Ilham,F
Iman,F
Imen,F
Inas,F
Ingy,F
Isra,F
Israa,F
Jana,F
Janah,F
Jasmine,F
Jawaher,F
Jawahir,F
Jawhara,F
Joharah,F
Jori,F
Jory,F
Jouhara,F
Jouri,F
Joury,F
Khadeja,F
Khadija,F
Khadijah,F
Laila,F
Lama,F
Lamaa,F
Lamia,F
Lamya,F
Lara,F
Lateefa,F
Latifa,F
Latifah,F
Layan,F
Layla,F
Leena,F
Leila,F
Lena,F
Lina,F
Lojain,F
Lujain,F
Lujein,F
Lyan,F
Maha,F
Malak,F
Manal,F
Maram,F
Mariam,F
Mariem,F
Marwa,F
Marwah,F
Maryam,F
Mayar,F
Maysa,F
Maysaa,F
Maysoon,F
Meera,F
Meryem,F
Mira,F
Mona,F
Muna,F
Muneera,F
Munira,F
Nadia,F
Nadiyah,F
Najla,F
Najlaa,F
Nasreen,F
Nesrine,F
Noha,F
Noof,F
Noor,F
Noora,F
